,session_id,acq_time,Acquisition_Time,Acquisition_Time_Difference,Min_Max_Scaled_Eigen_Sum,Eigenvalue_Sum_First_Difference,Time_Difference_in_Hours
0,ses-func01,1895-01-31T00:12:05,1895-01-31 00:12:05,,,,
1,ses-func02,1895-02-01T00:09:07,1895-02-01 00:09:07,0 days 23:57:02,,,23.950555555555557
2,ses-func03,1895-02-03T00:11:46,1895-02-03 00:11:46,2 days 00:02:39,,,48.04416666666667
3,ses-func04,1895-02-04T00:05:47,1895-02-04 00:05:47,0 days 23:54:01,,,23.900277777777777
4,ses-func05,1895-02-05T00:09:13,1895-02-05 00:09:13,1 days 00:03:26,,,24.057222222222222
5,ses-func06,1895-02-07T00:14:36,1895-02-07 00:14:36,2 days 00:05:23,,,48.08972222222222
6,ses-func07,1895-02-09T00:09:49,1895-02-09 00:09:49,1 days 23:55:13,,,47.92027777777778
7,ses-func08,1895-02-11T00:11:21,1895-02-11 00:11:21,2 days 00:01:32,,,48.025555555555556
8,ses-func09,1895-02-13T00:08:48,1895-02-13 00:08:48,1 days 23:57:27,,,47.9575
9,ses-func10,1895-02-14T00:09:44,1895-02-14 00:09:44,1 days 00:00:56,,,24.015555555555554
